latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.536,26.082,314.6,1,1,2016-06-08,0005,A,90,6.0NRT,290.3,14.3,N
30.534,26.092,306.3,1,1,2016-06-08,0005,A,68,6.0NRT,291.1,8,N
29.657,28.364,309.6,1,1,2016-06-08,0005,A,78,6.0NRT,294.1,9.3,N
27.986,22.333,305.8,1.4,1.2,2016-06-08,0005,A,66,6.0NRT,295.5,9.6,N
27.651,22.484,309.8,1.4,1.2,2016-06-08,0005,A,78,6.0NRT,296.5,12.7,N
-4.438,27.351,302.3,2.9,1.6,2016-06-08,0010,A,48,6.0NRT,289.1,28.3,N
-4.44,27.345,300.4,2.9,1.6,2016-06-08,0010,A,26,6.0NRT,289,24.7,N
-4.623,28.047,302,3.3,1.7,2016-06-08,0010,A,46,6.0NRT,291.2,32.5,N
-4.5,25.855,300.8,2.2,1.4,2016-06-08,0010,A,34,6.0NRT,289.9,15.1,N
-4.498,25.848,305.4,2.2,1.4,2016-06-08,0010,A,64,6.0NRT,290,24.9,N
-4.557,24.415,309.8,1.7,1.3,2016-06-08,0010,A,78,6.0NRT,289.9,23.3,N
-4.554,24.41,302.4,1.7,1.3,2016-06-08,0010,A,43,6.0NRT,289.4,11.9,N
-4.556,24.425,303.5,1.7,1.3,2016-06-08,0010,A,54,6.0NRT,289.5,13.2,N
-4.866,26.05,305.2,2.3,1.5,2016-06-08,0010,A,63,6.0NRT,290.1,26.9,N
-4.865,26.064,301.3,2.3,1.5,2016-06-08,0010,A,10,6.0NRT,289.3,16.7,N
-5.554,25.93,310.2,2.3,1.5,2016-06-08,0015,A,80,6.0NRT,291.3,37.7,N
-6.142,26.031,308.9,2.4,1.5,2016-06-08,0015,A,66,6.0NRT,289.2,33.5,N
-6.162,26.073,306.9,2.5,1.5,2016-06-08,0015,A,41,6.0NRT,289.6,28.9,N
-6.15,26.023,314.2,2.4,1.5,2016-06-08,0015,A,87,6.0NRT,289.6,45.7,N
-6.155,26.067,306.7,2.5,1.5,2016-06-08,0015,A,52,6.0NRT,289.5,28.9,N
-6.696,24.332,302.1,1.8,1.3,2016-06-08,0015,A,47,6.0NRT,290.6,14.6,N
-6.809,24.052,303.4,1.7,1.3,2016-06-08,0015,A,55,6.0NRT,288.7,15,N
-6.143,18.857,305.1,1,1,2016-06-08,0015,A,63,6.0NRT,289.6,7.4,N
