latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-7.746,-34.95,319.9,1.8,1.3,2016-10-14,0030,T,99,6.0NRT,293.6,40,N
-7.75,-34.94,304.2,1.8,1.3,2016-10-14,0030,T,59,6.0NRT,293.7,11.6,N
-7.752,-34.955,314.8,1.8,1.3,2016-10-14,0030,T,90,6.0NRT,293.4,29.9,N
-7.57,-34.904,314.7,1.8,1.3,2016-10-14,0030,T,90,6.0NRT,293.5,28.6,N
-7.572,-34.92,306.7,1.8,1.3,2016-10-14,0030,T,69,6.0NRT,292.9,15,N
-7.575,-34.909,304.8,1.8,1.3,2016-10-14,0030,T,60,6.0NRT,293.4,11,N
-7.563,-34.911,315.3,1.8,1.3,2016-10-14,0030,T,91,6.0NRT,293.1,28.2,N
-7.413,-34.92,304.7,1.8,1.3,2016-10-14,0030,T,61,6.0NRT,292,13,N
-7.17,-37.171,314.4,2.7,1.6,2016-10-14,0030,T,89,6.0NRT,296.5,48.3,N
-6.871,-35.245,304.6,1.9,1.3,2016-10-14,0030,T,61,6.0NRT,292.4,13.2,N
-6.314,-35.092,309.1,1.8,1.3,2016-10-14,0030,T,76,6.0NRT,293.3,18,N
-6.316,-35.108,328.2,1.8,1.3,2016-10-14,0030,T,100,6.0NRT,293.6,59.5,N
-6.319,-35.098,324.8,1.8,1.3,2016-10-14,0030,T,100,6.0NRT,293.6,49.3,N
-6.321,-35.114,314.2,1.8,1.3,2016-10-14,0030,T,89,6.0NRT,293.1,26.3,N
-6.368,-39.23,302.8,3.8,1.8,2016-10-14,0030,T,45,6.0NRT,292.7,22.1,N
-8.972,18.983,301,1,1,2016-10-14,0015,A,37,6.0NRT,290.7,4.9,N
-9.629,15.818,308.5,1.2,1.1,2016-10-14,0015,A,75,6.0NRT,285.5,12.1,N
-16.231,25.887,300.1,3.3,1.7,2016-10-14,0015,A,14,6.0NRT,289,29.2,N
-15.729,18.385,312.1,1,1,2016-10-14,0015,A,84,6.0NRT,291.3,12.8,N
-15.737,18.374,301.4,1,1,2016-10-14,0015,A,40,6.0NRT,290.1,5.4,N
-15.739,18.384,311.2,1,1,2016-10-14,0015,A,82,6.0NRT,290.4,12.1,N
-18.448,21.325,310.9,1.6,1.3,2016-10-14,0015,A,81,6.0NRT,290.7,22.8,N
-18.448,21.32,312.1,1.6,1.3,2016-10-14,0015,A,84,6.0NRT,291,24.1,N
-18.639,19.471,300.4,1.2,1.1,2016-10-14,0015,A,27,6.0NRT,289.5,6.2,N
-18.427,17.698,305.7,1,1,2016-10-14,0015,A,65,6.0NRT,293,6.5,N
30.408,19.61,305.8,2.3,1.5,2016-10-14,0005,A,66,6.0NRT,291.3,24.5,N
27.994,22.325,311.6,1.4,1.2,2016-10-14,0005,A,83,6.0NRT,291.7,20.1,N
27.654,22.483,311.2,1.4,1.2,2016-10-14,0005,A,82,6.0NRT,292.3,18,N
27.582,22.409,302.3,1.4,1.2,2016-10-14,0005,A,48,6.0NRT,292.2,9.4,N
14.139,30.859,305.5,2.5,1.5,2016-10-14,0005,A,65,6.0NRT,293.9,23.6,N
14.126,30.857,321,2.5,1.5,2016-10-14,0005,A,100,6.0NRT,295.2,71,N
14.121,30.88,309,2.6,1.5,2016-10-14,0005,A,76,6.0NRT,293.6,31.7,N
14.134,30.851,312.5,2.5,1.5,2016-10-14,0005,A,85,6.0NRT,294.8,44.1,N
14.13,30.874,305.7,2.6,1.5,2016-10-14,0005,A,65,6.0NRT,294,25.3,N
14.12,30.848,303.6,2.5,1.5,2016-10-14,0005,A,56,6.0NRT,293.2,20,N
14.116,30.871,316.4,2.6,1.5,2016-10-14,0005,A,93,6.0NRT,293.9,56.1,N
13.032,26.24,317,1.2,1.1,2016-10-14,0005,A,94,6.0NRT,295,19.5,N
